taxa,reads
g__Propionibacterium.s__Propionibacterium_sp_KPL1847,8
g__Propionibacterium.s__Propionibacterium_sp_KPL1849,6
g__Propionibacterium.s__Propionibacterium_sp_KPL1854,1
g__Propionibacterium.s__Propionibacterium_sp_KPL2003,2
g__Propionibacterium.s__Propionibacterium_sp_KPL2008,4
g__Propionibacterium.s__Propionibacterium_sp_KPL2009,1
g__Pseudacidovorax.s__Pseudacidovorax_intermedius,13
g__Pseudoalteromonas.s__Pseudoalteromonas_agarivorans,1
g__Pseudoclavibacter.s__Pseudoclavibacter_faecalis,1
g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus,4242
g__Pseudomonas.s__Pseudomonas_aeruginosa,7
g__Pseudomonas.s__Pseudomonas_fluorescens,19
g__Pseudomonas.s__Pseudomonas_fuscovaginae,1
g__Pseudomonas.s__Pseudomonas_mendocina,1
g__Pseudomonas.s__Pseudomonas_mosselii,1
g__Pseudomonas.s__Pseudomonas_pseudoalcaligenes,5
g__Pseudomonas.s__Pseudomonas_psychrotolerans,1
g__Pseudomonas.s__Pseudomonas_sp_2_1_26,1
g__Pseudomonas.s__Pseudomonas_sp_313,2
g__Pseudomonas.s__Pseudomonas_sp_CF150,1
g__Pseudomonas.s__Pseudomonas_sp_GM30,1
g__Pseudomonas.s__Pseudomonas_sp_GM79,7
g__Pseudomonas.s__Pseudomonas_sp_P179,3
g__Pseudomonas.s__Pseudomonas_stutzeri,1
g__Pseudomonas.s__Pseudomonas_syringae,11
g__Pseudorhodobacter.s__Pseudorhodobacter_ferrugineus,1
g__Pseudovibrio.s__Pseudovibrio_sp_JE062,13
g__Ralstonia.s__Ralstonia_sp_PBA,2
g__Ramlibacter.s__Ramlibacter_tataouinensis,1
g__Rhizobium.s__Rhizobium_etli,8
g__Rhizobium.s__Rhizobium_grahamii,2
g__Rhizobium.s__Rhizobium_leguminosarum,6
g__Rhizobium.s__Rhizobium_sp_2MFCol3_1,17
g__Rhizobium.s__Rhizobium_tropici,1
g__Rhodococcus.s__Rhodococcus_opacus,48
g__Rhodococcus.s__Rhodococcus_wratislaviensis,285
g__Rhodomicrobium.s__Rhodomicrobium_vannielii,4
g__Rhodopseudomonas.s__Rhodopseudomonas_palustris,10
g__Rhodospirillales_noname.s__Reyranella_massiliensis,1
g__Rhodospirillum.s__Rhodospirillum_photometricum,4
g__Rothia.s__Rothia_aeria,5
g__Rubrivivax.s__Rubrivivax_gelatinosus,2
g__Ruminococcus.s__Ruminococcus_lactaris,121
g__Salmonella.s__Salmonella_enterica,5
g__Scheffersomyces.s__Scheffersomyces_stipitis,2
g__Selenomonas.s__Selenomonas_sp_oral_taxon_138,1
g__Selenomonas.s__Selenomonas_sp_oral_taxon_149,1
g__Selenomonas.s__Selenomonas_sputigena,1
g__Serratia.s__Serratia_liquefaciens,3
g__Serratia.s__Serratia_sp_M24T3,3
g__Shigella.s__Shigella_boydii,40
g__Shigella.s__Shigella_dysenteriae,30
g__Shigella.s__Shigella_flexneri,29
g__Shigella.s__Shigella_sonnei,33
g__Shigella.s__Shigella_sp_D9,36
g__Sinorhizobium.s__Sinorhizobium_meliloti,5
g__Sphingobium.s__Sphingobium_chinhatense,2
g__Sphingobium.s__Sphingobium_xenophagum,2
g__Sphingobium.s__Sphingobium_yanoikuyae,3
g__Sphingomonas.s__Sphingomonas_echinoides,1
g__Sphingomonas.s__Sphingomonas_elodea,1
g__Sphingomonas.s__Sphingomonas_melonis,32
g__Sphingomonas.s__Sphingomonas_phyllosphaerae,8
g__Sphingomonas.s__Sphingomonas_sp_PAMC_26617,1
g__Sphingomonas.s__Sphingomonas_sp_PR090111_T3T_6A,1
g__Sphingomonas.s__Sphingomonas_wittichii,2
g__Sphingopyxis.s__Sphingopyxis_alaskensis,1
g__Sphingopyxis.s__Sphingopyxis_sp_MC1,17
g__Staphylococcus.s__Staphylococcus_aureus,28
g__Streptococcus.s__Streptococcus_agalactiae,189
g__Streptococcus.s__Streptococcus_anginosus,1
g__Streptococcus.s__Streptococcus_australis,15
g__Streptococcus.s__Streptococcus_infantarius,1
g__Streptococcus.s__Streptococcus_iniae,2
g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae,1
g__Streptococcus.s__Streptococcus_mutans,22
g__Streptococcus.s__Streptococcus_pseudopneumoniae,1
g__Streptococcus.s__Streptococcus_salivarius,624
g__Streptococcus.s__Streptococcus_sp_GMD4S,1
g__Streptomyces.s__Streptomyces_himastatinicus,1
g__Streptomyces.s__Streptomyces_sp_C,1
g__Streptomyces.s__Streptomyces_sp_HmicA12,1
g__Streptomyces.s__Streptomyces_sp_Mg1,1
g__Streptomyces.s__Streptomyces_sp_S4,1
g__Streptomyces.s__Streptomyces_turgidiscabies,2
g__Streptomyces.s__Streptomyces_xinghaiensis,1
g__Subdoligranulum.s__Subdoligranulum_sp_4_3_54A2FAA,1
g__Synergistes.s__Synergistes_sp_3_1_syn1,1
g__Talaromyces.s__Talaromyces_stipitatus,6
g__Tannerella.s__Tannerella_forsythia,7
g__Tannerella.s__Tannerella_sp_6_1_58FAA_CT1,120
g__Tetrasphaera.s__Tetrasphaera_elongata,11
g__Thalassiosira.s__Thalassiosira_pseudonana,95
g__Thauera.s__Thauera_selenatis,2
g__Thermosinus.s__Thermosinus_carboxydivorans,9
g__Thielavia.s__Thielavia_terrestris,101
g__Thiorhodococcus.s__Thiorhodococcus_drewsii,1
g__Toxoplasma.s__Toxoplasma_gondii,2
g__Varibaculum.s__Varibaculum_cambriense,1
g__Variovorax.s__Variovorax_paradoxus,26
g__Vibrio.s__Vibrio_alginolyticus,1
g__Vibrio.s__Vibrio_cholerae,7
g__Vibrio.s__Vibrio_cyclitrophicus,1
g__Vibrio.s__Vibrio_parahaemolyticus,5
g__Vibrio.s__Vibrio_scophthalmi,3
g__Xanthomonas.s__Xanthomonas_arboricola,1
g__Xanthomonas.s__Xanthomonas_perforans,1
g__Xanthomonas.s__Xanthomonas_sp_SHU166,1
g__Xanthomonas.s__Xanthomonas_sp_SHU308,1
g__Xanthomonas.s__Xanthomonas_vesicatoria,6
g__Yarrowia.s__Yarrowia_lipolytica,1
g__Zymoseptoria.s__Zymoseptoria_tritici,39
