taxa,reads
g__Prevotella.s__Prevotella_bergensis,1.0
g__Prevotella.s__Prevotella_buccae,1.0
g__Prevotella.s__Prevotella_histicola,646.0
g__Prevotella.s__Prevotella_oris,9.0
g__Prevotella.s__Prevotella_oulorum,1.0
g__Prevotella.s__Prevotella_pallens,1.0
g__Prevotella.s__Prevotella_sp_oral_taxon_317,1.0
g__Prevotella.s__Prevotella_timonensis,1.0
g__Prevotella.s__Prevotella_veroralis,2.0
g__Propionibacterium.s__Propionibacterium_acnes,91.0
g__Propionibacterium.s__Propionibacterium_sp_409_HC1,1.0
g__Propionibacterium.s__Propionibacterium_sp_434_HC2,4.0
g__Propionibacterium.s__Propionibacterium_sp_5_U_42AFAA,2.0
g__Propionibacterium.s__Propionibacterium_sp_CC003_HC2,1.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1844,1.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1847,4.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1849,8.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1854,1.0
g__Propionibacterium.s__Propionibacterium_sp_KPL2003,7.0
g__Propionibacterium.s__Propionibacterium_sp_KPL2008,4.0
g__Pseudaminobacter.s__Pseudaminobacter_salicylatoxidans,2.0
g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus,13.0
g__Pseudomonas.s__Pseudomonas_aeruginosa,7.0
g__Pseudomonas.s__Pseudomonas_amygdali,8.0
g__Pseudomonas.s__Pseudomonas_fluorescens,7.0
g__Pseudomonas.s__Pseudomonas_mendocina,2.0
g__Pseudomonas.s__Pseudomonas_mosselii,1.0
g__Pseudomonas.s__Pseudomonas_protegens,1.0
g__Pseudomonas.s__Pseudomonas_pseudoalcaligenes,1.0
g__Pseudomonas.s__Pseudomonas_putida,4.0
g__Pseudomonas.s__Pseudomonas_sp_313,5.0
g__Pseudomonas.s__Pseudomonas_sp_Ag1,5.0
g__Pseudomonas.s__Pseudomonas_sp_GM79,14.0
g__Pseudomonas.s__Pseudomonas_stutzeri,5.0
g__Pseudomonas.s__Pseudomonas_syringae,9.0
g__Pseudomonas.s__Pseudomonas_syringae_group_genomosp_3,2.0
g__Pseudomonas.s__Pseudomonas_veronii,14.0
g__Pseudonocardia.s__Pseudonocardia_sp_P2,2.0
g__Pseudoramibacter.s__Pseudoramibacter_alactolyticus,40.0
g__Pseudovibrio.s__Pseudovibrio_sp_JE062,75.0
g__Pseudoxanthomonas.s__Pseudoxanthomonas_sp_GW2,1.0
g__Pseudoxanthomonas.s__Pseudoxanthomonas_spadix,1.0
g__Ralstonia.s__Ralstonia_pickettii,37.0
g__Ralstonia.s__Ralstonia_solanacearum,1.0
g__Ralstonia.s__Ralstonia_sp_5_7_47FAA,1.0
g__Ralstonia.s__Ralstonia_sp_AU12_08,1.0
g__Ramlibacter.s__Ramlibacter_tataouinensis,3.0
g__Rhodobacter.s__Rhodobacter_sp_SW2,1.0
g__Rhodococcus.s__Rhodococcus_opacus,165.0
g__Rhodococcus.s__Rhodococcus_wratislaviensis,453.0
g__Rhodopseudomonas.s__Rhodopseudomonas_palustris,14.0
g__Rhodopseudomonas.s__Rhodopseudomonas_sp_B29,10.0
g__Rhodospirillales_noname.s__Reyranella_massiliensis,8.0
g__Rhodospirillum.s__Rhodospirillum_photometricum,7.0
g__Rickettsia.s__Rickettsia_prowazekii,3.0
g__Roseobacter.s__Roseobacter_sp_AzwK_3b,2.0
g__Rothia.s__Rothia_dentocariosa,1.0
g__Rubrivivax.s__Rubrivivax_benzoatilyticus,1.0
g__Ruminococcus.s__Ruminococcus_lactaris,208.0
g__Ruminococcus.s__Ruminococcus_sp,6.0
g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA,6.0
g__Ruminococcus.s__Ruminococcus_sp_JC304,1.0
g__Saccharomyces.s__Saccharomyces_cerevisiae,7.0
g__Salmonella.s__Salmonella_bongori,1.0
g__Salmonella.s__Salmonella_enterica,47.0
g__Shewanella.s__Shewanella_decolorationis,19.0
g__Shigella.s__Shigella_boydii,204.0
g__Shigella.s__Shigella_dysenteriae,197.0
g__Shigella.s__Shigella_flexneri,162.0
g__Shigella.s__Shigella_sonnei,166.0
g__Shigella.s__Shigella_sp_D9,219.0
g__Sinorhizobium.s__Sinorhizobium_meliloti,13.0
g__Sphingobium.s__Sphingobium_indicum,13.0
g__Sphingobium.s__Sphingobium_japonicum,25.0
g__Sphingobium.s__Sphingobium_sp_HDIP04,1.0
g__Sphingobium.s__Sphingobium_sp_SYK_6,2.0
g__Sphingobium.s__Sphingobium_ummariense,2.0
g__Sphingobium.s__Sphingobium_xenophagum,2.0
g__Sphingobium.s__Sphingobium_yanoikuyae,5.0
g__Sphingomonas.s__Sphingomonas_echinoides,2.0
g__Sphingomonas.s__Sphingomonas_melonis,45.0
g__Sphingomonas.s__Sphingomonas_phyllosphaerae,1.0
g__Sphingomonas.s__Sphingomonas_sp_LH128,3.0
g__Sphingomonas.s__Sphingomonas_sp_Mn802worker,1.0
g__Sphingomonas.s__Sphingomonas_sp_PR090111_T3T_6A,2.0
g__Sphingopyxis.s__Sphingopyxis_alaskensis,1.0
g__Sphingopyxis.s__Sphingopyxis_sp_MC1,8.0
g__Staphylococcus.s__Staphylococcus_aureus,77.0
g__Staphylococcus.s__Staphylococcus_caprae_capitis,1.0
g__Staphylococcus.s__Staphylococcus_epidermidis,28.0
g__Staphylococcus.s__Staphylococcus_sp_JGI_0001002_I23,2.0
g__Staphylococcus.s__Staphylococcus_sp_MDS7B,1.0
g__Stenotrophomonas.s__Stenotrophomonas_maltophilia,3.0
g__Stenotrophomonas.s__Stenotrophomonas_sp_SKA14,2.0
g__Stigmatella.s__Stigmatella_aurantiaca,2.0
g__Streptococcus.s__Streptococcus_agalactiae,39.0
g__Streptococcus.s__Streptococcus_australis,16.0
g__Streptococcus.s__Streptococcus_infantarius,2.0
g__Streptococcus.s__Streptococcus_iniae,1.0
g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae,8.0
g__Streptococcus.s__Streptococcus_pyogenes,1.0
g__Streptococcus.s__Streptococcus_salivarius,72.0
g__Streptococcus.s__Streptococcus_sobrinus,1.0
g__Streptomyces.s__Streptomyces_filamentosus,1.0
g__Streptomyces.s__Streptomyces_himastatinicus,2.0
g__Streptomyces.s__Streptomyces_rapamycinicus,1.0
g__Streptomyces.s__Streptomyces_sp_S4,1.0
g__Streptomyces.s__Streptomyces_sp_SPB74,1.0
