taxa,reads
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_BBFL7,5.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_3C,2.0
g__Flavobacterium.s__Flavobacterium_saliperosum,5.0
g__Frankia.s__Frankia_sp_EUN1f,2.0
g__Fusobacterium.s__Fusobacterium_nucleatum,3.0
g__Gallibacterium.s__Gallibacterium_anatis,2.0
g__Gammaproteobacteria_noname.s__marine_gamma_proteobacterium_HTCC2143,2.0
g__Geitlerinema.s__Geitlerinema_sp_PCC_7105,17.0
g__Gemella.s__Gemella_haemolysans,1.0
g__Geminocystis.s__Geminocystis_herdmanii,1.0
g__Gemmata.s__Gemmata_obscuriglobus,4.0
g__Geobacter.s__Geobacter_sp_M21,1.0
g__Gilvimarinus.s__Gilvimarinus_chinensis,8.0
g__Gluconacetobacter.s__Gluconacetobacter_hansenii,1.0
g__Gluconobacter.s__Gluconobacter_oxydans,1.0
g__Gordonia.s__Gordonia_polyisoprenivorans,1.0
g__Granulibacter.s__Granulibacter_bethesdensis,1.0
g__Granulicella.s__Granulicella_mallensis,1.0
g__Haemophilus.s__Haemophilus_influenzae,2.0
g__Haemophilus.s__Haemophilus_parahaemolyticus,2.0
g__Haemophilus.s__Haemophilus_parainfluenzae,3.0
g__Haemophilus.s__Haemophilus_parasuis,2.0
g__Halococcus.s__Halococcus_thailandensis,2.0
g__Halomonas.s__Halomonas_sp_BJGMM_B45,3.0
g__Halomonas.s__Halomonas_titanicae,5.0
g__Helicobacter.s__Helicobacter_canadensis,1.0
g__Helicobacter.s__Helicobacter_canis,1.0
g__Helicobacter.s__Helicobacter_hepaticus,4.0
g__Helicobacter.s__Helicobacter_pullorum,1.0
g__Helicobacter.s__Helicobacter_pylori,3.0
g__Heliobacterium.s__Heliobacterium_modesticaldum,68.0
g__Herbaspirillum.s__Herbaspirillum_lusitanum,1.0
g__Histophilus.s__Histophilus_somni,2.0
g__Hoeflea.s__Hoeflea_sp_108,4.0
g__Humibacter.s__Humibacter_albus,1.0
g__Hyphomicrobium.s__Hyphomicrobium_zavarzinii,1.0
g__Ilumatobacter.s__Ilumatobacter_coccineus,2.0
g__Janthinobacterium.s__Janthinobacterium_sp_CG3,3.0
g__Johnsonella.s__Johnsonella_ignava,3.0
g__Kitasatospora.s__Kitasatospora_setae,3.0
g__Klebsiella.s__Klebsiella_pneumoniae,1.0
g__Klebsiella.s__Klebsiella_sp_KTE92,1.0
g__Kocuria.s__Kocuria_rhizophila,8.0
g__Kytococcus.s__Kytococcus_sedentarius,1.0
g__Laccaria.s__Laccaria_bicolor,53.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA,10.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_4_56FAA,13.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_46FAA,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA,6.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,10.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA,18.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA,5.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA,37.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_6_1_63FAA,45.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA,7.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA,163.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_ICM7,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_oral_taxon_082,2.0
g__Lactobacillus.s__Lactobacillus_animalis,44.0
g__Lactobacillus.s__Lactobacillus_brevis,2.0
g__Lactobacillus.s__Lactobacillus_casei_paracasei,2.0
g__Lactobacillus.s__Lactobacillus_crispatus,65.0
g__Lactobacillus.s__Lactobacillus_fermentum,8.0
g__Lactobacillus.s__Lactobacillus_gasseri,1.0
g__Lactobacillus.s__Lactobacillus_jensenii,13.0
g__Lactobacillus.s__Lactobacillus_murinus,911.0
g__Lactobacillus.s__Lactobacillus_plantarum,1.0
g__Lactobacillus.s__Lactobacillus_reuteri,4.0
g__Lactobacillus.s__Lactobacillus_rhamnosus,1.0
g__Lactobacillus.s__Lactobacillus_salivarius,1.0
