GeneID,RPK,taxa
UNMAPPED|UNMAPPED,2164110.0,UNMAPPED
UniRef90_F6IFN9|unclassified,19.6443273119,unclassified
UniRef90_A6LEI4|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z253|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUF0|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A917|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BJ19|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WWN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6Y9M8|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI00035E57DE|unclassified,18.195191246700002,unclassified
UniRef90_A6LFF0|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZBY7|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZI44|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A2X3|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A712|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q7R6V5|unclassified,17.8886371446,unclassified
UniRef90_C7TAR6|unclassified,17.6022315707,unclassified
UniRef90_K5ZHH6|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZHQ3|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A5C7|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZFL7|unclassified,17.0,unclassified
UniRef90_N2B6P7|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DA56|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DL45|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6XC92|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5ZYV3|unclassified,16.9663875267,unclassified
UniRef90_E3ZBN0|unclassified,16.2363970549,unclassified
UniRef90_A8SIA8|unclassified,16.123128111099998,unclassified
UniRef90_K5ZV60|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q5L8Z8|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4YHW5|unclassified,15.577643894500001,unclassified
UniRef90_I7GIE7|unclassified,15.332007157,unclassified
UniRef90_J7SHX6|unclassified,15.0448701908,unclassified
UniRef90_K5Z206|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z655|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU22|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AVK1|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_M1Y8K3|unclassified,14.0751888201,unclassified
UniRef90_A0A014IHL6|unclassified,14.0,unclassified
UniRef90_K5Y8I3|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YU42|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AVK6|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AX27|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WZC4|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_E5VL83|unclassified,13.7728031754,unclassified
UniRef90_K5ZDY3|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZP27|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU03|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYB1|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYR5|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
