uniref90,taxa,RPK
UniRef90_K6A5G1,g__Parabacteroides.s__Parabacteroides_goldsteinii,107.0
UniRef90_K6AGC0,g__Parabacteroides.s__Parabacteroides_goldsteinii,107.0
UniRef90_Q5L7N5,g__Parabacteroides.s__Parabacteroides_goldsteinii,107.0
UniRef90_K5Z5U6,g__Parabacteroides.s__Parabacteroides_goldsteinii,106.0
UniRef90_K5Z5T7,g__Parabacteroides.s__Parabacteroides_goldsteinii,105.0
UniRef90_N1ZDA7,g__Clostridium.s__Clostridium_sp_ASF356,105.0
UniRef90_R6XBD7,g__Parabacteroides.s__Parabacteroides_goldsteinii,105.0
UniRef90_Q4YG87,unclassified,104.5506291784
UniRef90_K5ZLZ0,g__Parabacteroides.s__Parabacteroides_goldsteinii,104.0
UniRef90_K6A8B5,g__Parabacteroides.s__Parabacteroides_goldsteinii,104.0
UniRef90_G6AJF3,unclassified,103.828010061
UniRef90_Q7RAY3,unclassified,103.7778076352
UniRef90_A5ZYK8,unclassified,103.1551254482
UniRef90_K6ABM3,g__Parabacteroides.s__Parabacteroides_goldsteinii,103.0
UniRef90_N1ZAC1,g__Clostridium.s__Clostridium_sp_ASF356,103.0
UniRef90_S0GNB3,g__Parabacteroides.s__Parabacteroides_goldsteinii,103.0
UniRef90_A6BKY7,unclassified,102.0864979167
UniRef90_N1ZHN1,g__Clostridium.s__Clostridium_sp_ASF356,102.0
UniRef90_N2ASG6,g__Parabacteroides.s__Parabacteroides_goldsteinii,102.0
UniRef90_D6S3A2,unclassified,101.0004249534
UniRef90_K5ZBP4,g__Parabacteroides.s__Parabacteroides_goldsteinii,101.0
UniRef90_N2AM75,g__Parabacteroides.s__Parabacteroides_goldsteinii,101.0
UniRef90_N2B7Z8,g__Parabacteroides.s__Parabacteroides_goldsteinii,101.0
UniRef90_D6D3M1,g__Parabacteroides.s__Parabacteroides_goldsteinii,100.0
UniRef90_K5YVT6,g__Parabacteroides.s__Parabacteroides_goldsteinii,100.0
UniRef90_N1Z1T4,g__Clostridium.s__Clostridium_sp_ASF356,100.0
UniRef90_N1ZDH1,g__Clostridium.s__Clostridium_sp_ASF356,100.0
UniRef90_K5YTU9,g__Parabacteroides.s__Parabacteroides_goldsteinii,99.0
