Taxonomy,Length,Reads,RPK
root;k_Bacteria;p_Thermotogae;c_Thermotogae;o_Thermotogales;f_Fervidobacteriaceae;g_Fervidobacterium;s_Fervidobacterium islandicum,2793,51,39.4164768589535
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Butyrivibrio;s_Butyrivibrio proteoclasticus,3309,41,39.13473981320976
root;k_Bacteria;p_Firmicutes;c_Bacilli,11331,22,38.88142861282737
root;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Mucilaginibacter;s_Mucilaginibacter gotjawali,5157,46,38.26534608337042
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_;g_Intestinimonas;s_Intestinimonas butyriciproducens,5226,58,38.260090396974654
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus cellulosilyticus,3642,18,38.09062011745057
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas entomophila,1599,36,38.0232785602504
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus ruminis,4350,23,37.764187704458585
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus delbrueckii,3648,12,37.629103348463914
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Winogradskyella;s_Winogradskyella sp. RHA_55,2328,32,36.93619656745394
root;k_Bacteria;p_Proteobacteria;c_Epsilonproteobacteria;o_Campylobacterales;f_Campylobacteraceae;g_Arcobacter;s_Arcobacter butzleri,5217,39,36.9157901156407
root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Mycoplasma;s_Mycoplasma haemocanis,4287,35,36.62320470735869
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,6108,26,35.73503855826987
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Ensifer;s_Ensifer adhaerens,1419,31,35.654761904761905
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium carboxidivorans,11160,31,35.59015938684109
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Catenulisporales;f_Catenulisporaceae;g_Catenulispora;s_Catenulispora acidiphila,552,10,35.48482169171824
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella fusca,15801,50,35.23875254485791
root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Mycoplasma;s_Mycoplasma yeatsii,5178,13,34.99560131126899
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium saccharoperbutylacetonicum,14550,38,34.82798680674577
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Micrococcaceae;g_Rothia;s_Rothia dentocariosa,1155,40,34.63203463203463
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Shewanellaceae;g_Shewanella;s_Shewanella sp. ANA-3,1275,44,34.50980392156863
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Alkaliphilus;s_Alkaliphilus oremlandii,10713,23,34.36590667484489
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Lysinibacillus;s_Lysinibacillus sphaericus,12345,49,34.2046595506372
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Paenibacillaceae;g_Paenibacillus;s_Paenibacillus sp. 32O-W,1761,60,34.07155025553663
root;k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Megamonas;s_Megamonas hypermegale,13197,34,34.058316193153374
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Terribacillus;s_Terribacillus aidingensis,2418,12,33.51264933998746
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp. SR1/5,11505,19,33.39504528662393
root;k_Archaea;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;g_Candidatus Nitrosocosmicus;s_Candidatus Nitrocosmicus oleophilus,2475,32,33.34346812607682
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 22g15,15873,44,32.91213320870474
root;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Leadbetterella;s_Leadbetterella byssophila,3294,9,32.74866434856559
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium pasteurianum,24222,40,32.18061592099919
root;k_Bacteria;p_Chlamydiae;c_Chlamydiia;o_Parachlamydiales;f_Waddliaceae;g_Waddlia;s_Waddlia chondrophila,1040,15,32.16242249112034
root;k_Archaea;p_Thaumarchaeota,2397,17,31.910770006008104
