uniref90,taxa,RPK
UniRef90_K5Y2C5,g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0
UniRef90_K6A6E9,g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0
UniRef90_N1Z9E8,g__Clostridium.s__Clostridium_sp_ASF356,95.0
UniRef90_N1ZDJ1,g__Clostridium.s__Clostridium_sp_ASF356,95.0
UniRef90_N2B0G6,g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0
UniRef90_R6X2N4,g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0
UniRef90_L7N280,unclassified,93.82456175450001
UniRef90_A5ZYV6,unclassified,93.6672468826
UniRef90_N1Z584,g__Clostridium.s__Clostridium_sp_ASF356,93.0
UniRef90_N1ZB99,g__Clostridium.s__Clostridium_sp_ASF356,93.0
UniRef90_N2B988,g__Parabacteroides.s__Parabacteroides_goldsteinii,93.0
UniRef90_K5Z0S6,g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_K5Z222,g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_K5ZYN1,g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_N1ZMZ6,g__Clostridium.s__Clostridium_sp_ASF356,83.0
UniRef90_N1ZMZ6,unclassified,9.0
UniRef90_K5Z5T7,g__Parabacteroides.s__Parabacteroides_goldsteinii,91.0
UniRef90_K5Z996,g__Parabacteroides.s__Parabacteroides_goldsteinii,91.0
UniRef90_K5ZHM4,g__Parabacteroides.s__Parabacteroides_goldsteinii,91.0
UniRef90_B5CLP5,unclassified,90.55251149700001
UniRef90_UPI0002B431B5,unclassified,90.5054259343
UniRef90_A7VD51,unclassified,90.12102559799999
UniRef90_K5Z5Q7,g__Parabacteroides.s__Parabacteroides_goldsteinii,90.0
UniRef90_N2B352,g__Parabacteroides.s__Parabacteroides_goldsteinii,90.0
UniRef90_K6A2W8,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_K6A6G0,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_K6ADA5,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_K6AMB7,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_N1ZM68,g__Clostridium.s__Clostridium_sp_ASF356,89.0
