GeneID,RPK,taxa
UNMAPPED|UNMAPPED,1900477.0,UNMAPPED
UniRef90_K5ZTE6|g__Parabacteroides.s__Parabacteroides_goldsteinii,83.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4YHQ2|unclassified,82.3882937244,unclassified
UniRef90_A5ZYU6|unclassified,82.2787485869,unclassified
UniRef90_N2AMG6|g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B341|g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YK69|g__Parabacteroides.s__Parabacteroides_goldsteinii,81.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5ZYV7|unclassified,80.6666666667,unclassified
UniRef90_N1ZMZ6|unclassified,80.0,unclassified
UniRef90_R5DBG0|g__Parabacteroides.s__Parabacteroides_goldsteinii,80.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZLJ3|g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AEI2|g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZG73|unclassified,79.0,unclassified
UniRef90_N2B0G6|g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A7LQH0|unclassified,78.9038351287,unclassified
UniRef90_N2AVB7|g__Parabacteroides.s__Parabacteroides_goldsteinii,78.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WWF6|g__Parabacteroides.s__Parabacteroides_goldsteinii,78.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZLM4|unclassified,77.0827909833,unclassified
UniRef90_K5YVS1|g__Parabacteroides.s__Parabacteroides_goldsteinii,77.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z9T8|g__Parabacteroides.s__Parabacteroides_goldsteinii,77.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WP78|g__Parabacteroides.s__Parabacteroides_goldsteinii,77.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6P028|unclassified,76.4857964256,unclassified
UniRef90_C1BRN8|unclassified,76.2674136562,unclassified
UniRef90_K6A234|g__Parabacteroides.s__Parabacteroides_goldsteinii,76.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1Z5G6|unclassified,76.0,unclassified
UniRef90_A5ZYK8|unclassified,75.8314051174,unclassified
