GeneID,RPK,taxa
UniRef90_K5Z5U6|g__Parabacteroides.s__Parabacteroides_goldsteinii,241.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AGJ4|g__Parabacteroides.s__Parabacteroides_goldsteinii,241.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,240.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B1B3|g__Parabacteroides.s__Parabacteroides_goldsteinii,240.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YXW8|g__Parabacteroides.s__Parabacteroides_goldsteinii,239.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZZ20|g__Parabacteroides.s__Parabacteroides_goldsteinii,239.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZRS8|g__Clostridium.s__Clostridium_sp_ASF356,239.0,g__Clostridium.s__Clostridium_sp_ASF356
UniRef90_K5YXC8|g__Parabacteroides.s__Parabacteroides_goldsteinii,238.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZDD2|g__Parabacteroides.s__Parabacteroides_goldsteinii,238.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU22|g__Parabacteroides.s__Parabacteroides_goldsteinii,238.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ABM3|g__Parabacteroides.s__Parabacteroides_goldsteinii,238.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AJW4|g__Parabacteroides.s__Parabacteroides_goldsteinii,237.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AHL9|g__Parabacteroides.s__Parabacteroides_goldsteinii,236.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ANK6|g__Parabacteroides.s__Parabacteroides_goldsteinii,236.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_S0GHM4|g__Parabacteroides.s__Parabacteroides_goldsteinii,236.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YF26|g__Parabacteroides.s__Parabacteroides_goldsteinii,235.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YIZ7|g__Parabacteroides.s__Parabacteroides_goldsteinii,235.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUB2|g__Parabacteroides.s__Parabacteroides_goldsteinii,235.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A6P6|g__Parabacteroides.s__Parabacteroides_goldsteinii,234.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6APH1|g__Parabacteroides.s__Parabacteroides_goldsteinii,234.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X473|g__Parabacteroides.s__Parabacteroides_goldsteinii,234.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AX84|g__Parabacteroides.s__Parabacteroides_goldsteinii,233.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y8K4|g__Parabacteroides.s__Parabacteroides_goldsteinii,232.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A6I2|g__Parabacteroides.s__Parabacteroides_goldsteinii,232.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AGC0|g__Parabacteroides.s__Parabacteroides_goldsteinii,232.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y7V3|g__Parabacteroides.s__Parabacteroides_goldsteinii,231.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZB08|g__Parabacteroides.s__Parabacteroides_goldsteinii,231.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZCI4|g__Parabacteroides.s__Parabacteroides_goldsteinii,230.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
