taxa,reads
g__Comamonas.s__Comamonas_testosteroni,41.0
g__Conexibacter.s__Conexibacter_woesei,3.0
g__Coprinopsis.s__Coprinopsis_cinerea,3.0
g__Coprobacillus.s__Coprobacillus_sp_D6,1.0
g__Coprobacillus.s__Coprobacillus_sp_D7,1.0
g__Coprococcus.s__Coprococcus_catus,4.0
g__Coprococcus.s__Coprococcus_comes,1.0
g__Coprococcus.s__Coprococcus_eutactus,1913.0
g__Corynebacterium.s__Corynebacterium_ammoniagenes,23.0
g__Corynebacterium.s__Corynebacterium_amycolatum,2.0
g__Corynebacterium.s__Corynebacterium_bovis,2.0
g__Corynebacterium.s__Corynebacterium_casei,5.0
g__Corynebacterium.s__Corynebacterium_doosanense,1.0
g__Corynebacterium.s__Corynebacterium_efficiens,2.0
g__Corynebacterium.s__Corynebacterium_genitalium,10.0
g__Corynebacterium.s__Corynebacterium_kroppenstedtii,16.0
g__Corynebacterium.s__Corynebacterium_lipophiloflavum,5.0
g__Corynebacterium.s__Corynebacterium_maris,1.0
g__Corynebacterium.s__Corynebacterium_matruchotii,46.0
g__Corynebacterium.s__Corynebacterium_propinquum,1.0
g__Corynebacterium.s__Corynebacterium_pseudogenitalium,20.0
g__Corynebacterium.s__Corynebacterium_sp_HFH0082,1.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1814,2.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1817,1.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1818,1.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1856,1.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1857,4.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1859,1.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1860,1.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1986,3.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1996,2.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1998,2.0
g__Corynebacterium.s__Corynebacterium_sp_KPL2004,1.0
g__Corynebacterium.s__Corynebacterium_striatum,1.0
g__Corynebacterium.s__Corynebacterium_timonense,1.0
g__Corynebacterium.s__Corynebacterium_tuberculostearicum,29.0
g__Corynebacterium.s__Corynebacterium_urealyticum,7.0
g__Coxiella.s__Coxiella_burnetii,24.0
g__Cronobacter.s__Cronobacter_malonaticus,1.0
g__Cupriavidus.s__Cupriavidus_basilensis,2.0
g__Cupriavidus.s__Cupriavidus_metallidurans,32.0
g__Cupriavidus.s__Cupriavidus_necator,12.0
g__Cupriavidus.s__Cupriavidus_sp_BIS7,2.0
g__Cupriavidus.s__Cupriavidus_sp_HMR_1,89.0
g__Cupriavidus.s__Cupriavidus_sp_HPC_L,31.0
g__Cupriavidus.s__Cupriavidus_sp_WS,20.0
g__Cupriavidus.s__Cupriavidus_taiwanensis,2.0
g__Curvibacter.s__Curvibacter_lanceolatus,230.0
g__Cyanothece.s__Cyanothece_sp_CCY0110,8.0
g__Cytophaga.s__Cytophaga_aurantiaca,32.0
g__Debaryomyces.s__Debaryomyces_hansenii,1.0
g__Dechloromonas.s__Dechloromonas_aromatica,2.0
g__Dehalobacter.s__Dehalobacter_sp_FTH1,4.0
g__Delftia.s__Delftia_acidovorans,1.0
g__Delftia.s__Delftia_sp_Cs1_4,9.0
g__Dermabacter.s__Dermabacter_sp_HFH0086,9.0
g__Desulfarculus.s__Desulfarculus_baarsii,1.0
g__Desulfococcus.s__Desulfococcus_multivorans,11.0
g__Desulfovibrio.s__Desulfovibrio_desulfuricans,1.0
g__Desulfurispirillum.s__Desulfurispirillum_indicum,1.0
g__Dialister.s__Dialister_invisus,1.0
g__Dialister.s__Dialister_micraerophilus,1.0
g__Dickeya.s__Dickeya_paradisiaca,1.0
g__Dictyostelium.s__Dictyostelium_discoideum,20.0
g__Dictyostelium.s__Dictyostelium_purpureum,494.0
g__Dietzia.s__Dietzia_cinnamea,15.0
g__Dinoroseobacter.s__Dinoroseobacter_shibae,4.0
g__Dorea.s__Dorea_formicigenerans,4.0
g__Dorea.s__Dorea_longicatena,110.0
g__Dorea.s__Dorea_sp_5_2,37.0
g__Duganella.s__Duganella_zoogloeoides,25.0
g__Dyella.s__Dyella_japonica,5.0
g__Dysgonomonas.s__Dysgonomonas_mossii,1.0
g__Edwardsiella.s__Edwardsiella_ictaluri,2.0
g__Elizabethkingia.s__Elizabethkingia_anophelis,11.0
g__Emticicia.s__Emticicia_oligotrophica,2.0
