taxa,reads
g__Prevotella.s__Prevotella_nigrescens,2.0
g__Prevotella.s__Prevotella_oris,4.0
g__Prevotella.s__Prevotella_sp_oral_taxon_317,7051.0
g__Prevotella.s__Prevotella_veroralis,24.0
g__Propionibacterium.s__Propionibacterium_acnes,69.0
g__Propionibacterium.s__Propionibacterium_humerusii,1.0
g__Propionibacterium.s__Propionibacterium_sp_409_HC1,5.0
g__Propionibacterium.s__Propionibacterium_sp_434_HC2,3.0
g__Propionibacterium.s__Propionibacterium_sp_5_U_42AFAA,5.0
g__Propionibacterium.s__Propionibacterium_sp_CC003_HC2,3.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1847,3.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1849,4.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1854,1.0
g__Propionibacterium.s__Propionibacterium_sp_KPL2003,6.0
g__Propionibacterium.s__Propionibacterium_sp_KPL2008,2.0
g__Propionibacterium.s__Propionibacterium_sp_KPL2009,2.0
g__Providencia.s__Providencia_rettgeri,1.0
g__Pseudoalteromonas.s__Pseudoalteromonas_agarivorans,3.0
g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus,10.0
g__Pseudomonas.s__Pseudomonas_aeruginosa,2.0
g__Pseudomonas.s__Pseudomonas_extremaustralis,1.0
g__Pseudomonas.s__Pseudomonas_fluorescens,2.0
g__Pseudomonas.s__Pseudomonas_mendocina,1.0
g__Pseudomonas.s__Pseudomonas_poae,2.0
g__Pseudomonas.s__Pseudomonas_protegens,2.0
g__Pseudomonas.s__Pseudomonas_resinovorans,1.0
g__Pseudomonas.s__Pseudomonas_sp_Ag1,1.0
g__Pseudomonas.s__Pseudomonas_sp_GM17,1.0
g__Pseudomonas.s__Pseudomonas_sp_GM79,1.0
g__Pseudomonas.s__Pseudomonas_sp_GM80,1.0
g__Pseudomonas.s__Pseudomonas_sp_S13_1_2,1.0
g__Pseudomonas.s__Pseudomonas_syringae,10.0
g__Pseudomonas.s__Pseudomonas_viridiflava,1.0
g__Pseudoramibacter.s__Pseudoramibacter_alactolyticus,1.0
g__Pseudovibrio.s__Pseudovibrio_sp_JE062,7.0
g__Ralstonia.s__Ralstonia_sp_5_7_47FAA,1.0
g__Ralstonia.s__Ralstonia_sp_AU12_08,2.0
g__Ramlibacter.s__Ramlibacter_tataouinensis,2.0
g__Rhizobium.s__Rhizobium_leguminosarum,4.0
g__Rhodanobacter.s__Rhodanobacter_fulvus,1.0
g__Rhodanobacter.s__Rhodanobacter_thiooxydans,1.0
g__Rhodococcus.s__Rhodococcus_erythropolis,1.0
g__Rhodococcus.s__Rhodococcus_opacus,1851.0
g__Rhodococcus.s__Rhodococcus_wratislaviensis,18.0
g__Rhodopirellula.s__Rhodopirellula_sallentina,1.0
g__Rhodopseudomonas.s__Rhodopseudomonas_palustris,8.0
g__Rhodospirillales_noname.s__Reyranella_massiliensis,2.0
g__Rhodospirillum.s__Rhodospirillum_photometricum,3.0
g__Rickettsia.s__Rickettsia_prowazekii,3.0
g__Riemerella.s__Riemerella_anatipestifer,2.0
g__Roseburia.s__Roseburia_intestinalis,2.0
g__Rubrivivax.s__Rubrivivax_benzoatilyticus,2.0
g__Ruminococcus.s__Ruminococcus_lactaris,122.0
g__Ruminococcus.s__Ruminococcus_sp,4.0
g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA,3.0
g__Ruminococcus.s__Ruminococcus_sp_JC304,2.0
g__Saccharomyces.s__Saccharomyces_cerevisiae,1.0
g__Salinispora.s__Salinispora_arenicola,1.0
g__Scheffersomyces.s__Scheffersomyces_stipitis,1.0
g__Schizophyllum.s__Schizophyllum_commune,1.0
g__Shigella.s__Shigella_boydii,3.0
