GeneID,RPK
UniRef90_R6XC92|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0
UniRef90_K5XZF4|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_K5Y7V3|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_K5YC49|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_K5ZDM2|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_K5ZGI3|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_K5ZKI4|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_K5ZP72|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_K5ZTE3|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_N2BBX4|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_R6WUS3|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_R6X7I2|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
UniRef90_A6LA39|g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0
UniRef90_K5Y8F4|g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0
UniRef90_K5ZHQ3|g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0
UniRef90_K5ZI94|g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0
UniRef90_K5ZUC5|g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0
UniRef90_K6A917|g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0
UniRef90_A6LE84|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_A6LEG8|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_A6LFF0|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_A6LI78|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_K5YMK8|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_K5ZKY0|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_K5ZUJ4|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_K5ZV60|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_K6A1B7|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_R5DAK3|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_R6WRT3|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_R6WSU5|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_S0GKA8|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
UniRef90_V2QF42|g__Mucispirillum.s__Mucispirillum_schaedleri,21.0
UniRef90_A6L9P3|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
UniRef90_K5Y287|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
