Taxonomy,Length,Reads,RPK
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides xylanisolvens,14964,13,9.977523335673327
root;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Flammeovirgaceae;g_;s_Flammeovirgaceae bacterium 311,2130,21,9.859154929577466
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Paenibacillaceae;g_Paenibacillus;s_Paenibacillus sp. FSL H7-0357,3678,12,9.818070497682148
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium botulinum,8628,10,9.42446449368531
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Methylobacterium;s_Methylobacterium populi,1275,12,9.411764705882353
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,9240,9,9.322140154219776
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas maltophilia,6558,9,9.0955756637322
root;k_Viruses;p_;c_;o_;f_Adenoviridae;g_Mastadenovirus;s_Human mastadenovirus C,1383,5,9.059744243217033
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Maribacter;s_Maribacter sp. MAR_2009_60,9201,11,9.010040047310993
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_uncultured Lactobacillus sp.,111,1,9.00900900900901
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingobium;s_Sphingobium sp. RAC03,774,3,8.623029543793717
root;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Sphingobacterium;s_Sphingobacterium sp. PM2-P1-29,6027,6,8.51264919467077
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium tetani,5637,4,8.489715946777105
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella sp. oral taxon 299,3144,5,8.301261715532403
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_uncultured Roseburia sp.,123,1,8.130081300813009
root;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Hymenobacteraceae;g_Hymenobacter;s_Hymenobacter sp. APR13,1740,7,8.045977011494253
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Paenibacillaceae;g_Paenibacillus;s_Paenibacillus polymyxa,249,2,8.032128514056225
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella;s_Klebsiella aerogenes,756,3,7.936507936507937
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus carnosus,2295,18,7.843137254901961
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella ruminicola,14778,12,7.821108901899
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus lugdunensis,399,3,7.518796992481203
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_[Ruminococcus] torques,267,2,7.49063670411985
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae,3099,23,7.421748951274604
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales,135,1,7.4074074074074066
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella sp. oral taxon HOT-286,4881,5,7.243357015278494
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales,2613,6,7.16323272655219
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Petrimonas;s_Petrimonas mucosa,4914,4,7.057961922506119
root;k_Bacteria;p_Actinobacteria;c_Acidimicrobiia;o_Acidimicrobiales;f_Acidimicrobiaceae;g_Ilumatobacter;s_Ilumatobacter coccineus,567,2,7.056451612903226
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella sp. oral taxon G94,144,1,6.944444444444445
root;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Fibrella;s_Fibrella aestuarina,1464,5,6.830601092896174
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Afipia;s_Afipia sp. GAS231,5808,7,6.828390374753362
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales,12495,10,6.8188302937643614
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_;g_;s_Bacteroidales bacterium CF,2064,3,6.770172573840319
root;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Cytophaga;s_Cytophaga hutchinsonii,2316,4,6.752771880160415
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae,2502,3,6.5727490953905185
root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Ureaplasma;s_Ureaplasma parvum,792,5,6.313131313131313
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae;g_Aerococcus;s_Aerococcus urinae,1761,6,6.288338708657434
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_;g_Leptothrix;s_Leptothrix cholodnii,1623,10,6.161429451632779
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Paludibacteraceae;g_Paludibacter;s_Paludibacter propionicigenes,2484,3,6.119201082199411
root;k_Bacteria;p_Cyanobacteria,165,1,6.0606060606060606
root;k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Methanobacterium lacus,165,1,6.0606060606060606
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus gobiensis,831,5,6.016847172081829
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Candidatus Arthromitus,3888,3,5.980731171570867
root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Acholeplasmatales;f_Acholeplasmataceae;g_Candidatus Phytoplasma;s_Citrus blotchy-mottle phytoplasma,168,1,5.952380952380952
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium AD243-H1,168,1,5.952380952380952
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,7116,8,5.930904966581115
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus equi,171,1,5.847953216374268
root;k_Viruses;p_;c_;o_Caudovirales;f_Myoviridae,171,1,5.847953216374268
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria,5443,4,5.751743118905176
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus mycoides,177,1,5.649717514124294
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium scatologenes,1377,4,5.593309749891392
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales,179,1,5.58659217877095
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Marinilabiliales;f_Prolixibacteraceae;g_Draconibacterium;s_Draconibacterium orientale,13758,7,5.579256740938421
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Hydrogenophaga;s_Hydrogenophaga sp. RAC07,6243,7,5.566709257885037
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides goldsteinii,3282,9,5.484460694698354
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter vibrioides,3708,8,5.412134010068021
