GeneID,RPK,taxa
UniRef90_K6AL18|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AX53|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AVK1|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BBX4|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WWF6|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LFF0|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LI32|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LI78|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y092|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y6T0|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YHK5|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YVY3|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z035|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z0U6|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z1V4|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z470|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGM1|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
