taxa,reads
g__Caulobacter.s__Caulobacter_sp_JGI_0001013_D04,8.0
g__Caulobacter.s__Caulobacter_sp_K31,3.0
g__Caulobacter.s__Caulobacter_vibrioides,25.0
g__Cellvibrio.s__Cellvibrio_sp_BR,1.0
g__Centipeda.s__Centipeda_periodontii,9.0
g__Chaetomium.s__Chaetomium_globosum,7.0
g__Chlamydia.s__Chlamydia_pneumoniae,1.0
g__Chlamydia.s__Chlamydia_psittaci,938.0
g__Chlorobium.s__Chlorobium_phaeobacteroides,1.0
g__Chryseobacterium.s__Chryseobacterium_taeanense,1.0
g__Citrobacter.s__Citrobacter_freundii,1.0
g__Citrobacter.s__Citrobacter_koseri,1.0
g__Citrobacter.s__Citrobacter_sp_30_2,1.0
g__Citrobacter.s__Citrobacter_sp_KTE151,1.0
g__Citrobacter.s__Citrobacter_youngae,1.0
g__Clavispora.s__Clavispora_lusitaniae,3.0
g__Clostridiales_noname.s__Bacteroides_pectinophilus,5.0
g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA,273.0
g__Clostridium.s__Clostridium_asparagiforme,3.0
g__Clostridium.s__Clostridium_bolteae,87.0
g__Clostridium.s__Clostridium_botulinum,325.0
g__Clostridium.s__Clostridium_butyricum,1.0
g__Clostridium.s__Clostridium_carboxidivorans,1.0
g__Clostridium.s__Clostridium_citroniae,1.0
g__Clostridium.s__Clostridium_clostridioforme,72.0
g__Clostridium.s__Clostridium_hathewayi,19.0
g__Clostridium.s__Clostridium_hylemonae,10.0
g__Clostridium.s__Clostridium_kluyveri,1.0
g__Clostridium.s__Clostridium_leptum,67.0
g__Clostridium.s__Clostridium_methylpentosum,11.0
g__Clostridium.s__Clostridium_nexile,53.0
g__Clostridium.s__Clostridium_perfringens,4.0
g__Clostridium.s__Clostridium_saccharolyticum,2.0
g__Clostridium.s__Clostridium_saccharoperbutylacetonicum,1.0
g__Clostridium.s__Clostridium_scindens,161.0
g__Clostridium.s__Clostridium_sp_7_3_54FAA,5.0
