taxa,reads
g__Dictyostelium.s__Dictyostelium_discoideum,6.0
g__Dorea.s__Dorea_formicigenerans,2.0
g__Dorea.s__Dorea_longicatena,174.0
g__Dorea.s__Dorea_sp_5_2,1.0
g__Ectothiorhodospira.s__Ectothiorhodospira_sp_PHS_1,2.0
g__Edwardsiella.s__Edwardsiella_tarda,2.0
g__Elizabethkingia.s__Elizabethkingia_anophelis,144.0
g__Endoriftia.s__Endoriftia_persephone,1.0
g__Enhydrobacter.s__Enhydrobacter_aerosaccus,2.0
g__Enterobacter.s__Enterobacter_cloacae,6.0
g__Enterobacter.s__Enterobacter_sp_MGH_16,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_25,1.0
g__Enterobacter.s__Enterobacter_sp_MR1,1.0
g__Enterococcus.s__Enterococcus_avium,1.0
g__Enterococcus.s__Enterococcus_casseliflavus,7.0
g__Enterococcus.s__Enterococcus_cecorum,9.0
g__Enterococcus.s__Enterococcus_durans,2.0
g__Enterococcus.s__Enterococcus_faecalis,591.0
g__Enterococcus.s__Enterococcus_faecium,9.0
g__Enterococcus.s__Enterococcus_moraviensis,36.0
g__Enterococcus.s__Enterococcus_mundtii,18.0
g__Enterococcus.s__Enterococcus_raffinosus,6.0
g__Enterorhabdus.s__Enterorhabdus_caecimuris,1.0
g__Erysipelothrix.s__Erysipelothrix_rhusiopathiae,35.0
g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A,10.0
g__Erysipelotrichaceae_noname.s__Eubacterium_cylindroides,14.0
g__Erysipelotrichaceae_noname.s__Eubacterium_dolichum,4.0
g__Escherichia.s__Escherichia_albertii,9.0
g__Escherichia.s__Escherichia_coli,586.0
g__Escherichia.s__Escherichia_fergusonii,21.0
g__Escherichia.s__Escherichia_sp_1_1_43,265.0
g__Escherichia.s__Escherichia_sp_3_2_53FAA,80.0
g__Escherichia.s__Escherichia_sp_4_1_40B,300.0
g__Escherichia.s__Escherichia_sp_TW09231,14.0
g__Escherichia.s__Escherichia_sp_TW09276,8.0
g__Escherichia.s__Escherichia_sp_TW09308,4.0
g__Escherichia.s__Escherichia_sp_TW10509,35.0
g__Escherichia.s__Escherichia_sp_TW11588,20.0
g__Eubacterium.s__Eubacterium_limosum,4.0
g__Eubacterium.s__Eubacterium_plexicaudatum,2.0
g__Eubacterium.s__Eubacterium_ramulus,10.0
g__Eubacterium.s__Eubacterium_sp_14_2,2.0
g__Eubacterium.s__Eubacterium_ventriosum,208.0
g__Faecalibacterium.s__Faecalibacterium_prausnitzii,100.0
g__Finegoldia.s__Finegoldia_magna,10.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_2A,52.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_3C,65.0
g__Flavobacterium.s__Flavobacterium_johnsoniae,4.0
g__Flavobacterium.s__Flavobacterium_psychrophilum,2.0
g__Flavobacterium.s__Flavobacterium_sp_F52,1.0
g__Flavobacterium.s__Flavobacterium_sp_WG21,5.0
g__Fusobacterium.s__Fusobacterium_gonidiaformans,2.0
g__Fusobacterium.s__Fusobacterium_nucleatum,11.0
g__Gallibacterium.s__Gallibacterium_anatis,1.0
g__Gemmata.s__Gemmata_obscuriglobus,31.0
g__Gordonia.s__Gordonia_polyisoprenivorans,2.0
g__Haemophilus.s__Haemophilus_parasuis,1.0
g__Helicobacter.s__Helicobacter_pylori,30.0
g__Heliobacterium.s__Heliobacterium_modesticaldum,124.0
g__Herbaspirillum.s__Herbaspirillum_lusitanum,2.0
g__Hoeflea.s__Hoeflea_sp_108,1.0
g__Humibacter.s__Humibacter_albus,3.0
g__Hydrogenophaga.s__Hydrogenophaga_sp_PBC,1.0
g__Hyphomicrobium.s__Hyphomicrobium_nitrativorans,1.0
g__Ilumatobacter.s__Ilumatobacter_coccineus,1.0
g__Intrasporangium.s__Intrasporangium_calvum,3.0
g__Janibacter.s__Janibacter_hoylei,1.0
g__Janthinobacterium.s__Janthinobacterium_sp_CG3,1.0
g__Janthinobacterium.s__Janthinobacterium_sp_HH01,12.0
g__Klebsiella.s__Klebsiella_pneumoniae,6.0
g__Klebsiella.s__Klebsiella_sp_4_1_44FAA,1.0
g__Klebsiella.s__Klebsiella_sp_KTE92,1.0
g__Kocuria.s__Kocuria_rhizophila,4.0
g__Kocuria.s__Kocuria_sp_UCD_OTCP,1.0
g__Kosakonia.s__Kosakonia_radicincitans,1.0
