Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
ec:6.3.1.2,,ec:2.3.1.12,,,ec:1.3.1.1,,,ec:2.6.1.42,,,,
ec:6.3.2.13,,ec:5.3.1.17,,,ec:1.8.1.2,,,ec:4.1.99.22,,,,
ec:6.4.1.3,,ec:2.7.1.58,,,,,,ec:6.3.5.1,,,,
ec:3.3.1.1,,ec:2.4.1.12,,,,,,ec:4.3.99.3,,,,
ec:1.2.1.41,,ec:4.2.1.90,,,,,,ec:4.3.3.6,,,,
ec:2.3.1.182,,ec:4.2.1.47,,,,,,ec:5.4.3.8,,,,
ec:5.4.99.2,,ec:1.1.1.22,,,,,,ec:2.6.1.85,,,,
ec:2.6.1.9,,ec:1.1.1.29,,,,,,ec:1.1.1.290,,,,
ec:4.2.3.4,,ec:4.1.1.85,,,,,,ec:3.6.1.67,,,,
ec:2.3.1.29,,ec:3.2.1.122,,,,,,ec:1.3.1.1,,,,
ec:5.4.2.11,,ec:1.1.1.37,,,,,,,,,,
ec:2.1.2.5,,ec:6.3.1.2,,,,,,,,,,
ec:2.1.3.9,,ec:1.3.5.1,,,,,,,,,,
ec:4.2.1.10,,ec:6.4.1.3,,,,,,,,,,
ec:4.3.1.3,,ec:5.4.99.2,,,,,,,,,,
ec:1.2.1.88,,ec:3.2.1.52,,,,,,,,,,
ec:6.3.5.4,,ec:5.4.2.10,,,,,,,,,,
ec:1.2.1.11,,ec:4.1.2.19,,,,,,,,,,
ec:1.1.1.85,,ec:1.1.1.58,,,,,,,,,,
ec:2.6.1.52,,ec:5.4.2.11,,,,,,,,,,
ec:2.6.1.83,,ec:2.2.1.2,,,,,,,,,,
ec:2.6.1.13,,ec:3.5.99.6,,,,,,,,,,
ec:1.1.1.23,,ec:3.2.1.55,,,,,,,,,,
ec:2.5.1.6,,ec:2.7.1.5,,,,,,,,,,
ec:3.5.2.7,,ec:2.7.1.90,,,,,,,,,,
ec:3.6.1.31,,ec:3.2.1.23,,,,,,,,,,
ec:1.4.1.16,,ec:3.2.1.21,,,,,,,,,,
ec:2.6.1.42,,ec:3.2.1.37,,,,,,,,,,
ec:4.1.3.27,,ec:5.1.3.3,,,,,,,,,,
ec:2.5.1.49,,ec:6.2.1.5,,,,,,,,,,
ec:1.1.1.103,,ec:2.7.1.6,,,,,,,,,,
ec:3.5.3.6,,ec:1.3.1.98,,,,,,,,,,
ec:2.7.1.39,,ec:5.3.1.5,,,,,,,,,,
ec:2.3.1.57,,ec:3.2.1.1,,,,,,,,,,
ec:1.14.13.127,,ec:1.1.1.49,,,,,,,,,,
ec:4.1.2.48,,ec:1.1.1.271,,,,,,,,,,
ec:1.1.1.35,,ec:4.2.1.8,,,,,,,,,,
ec:2.7.2.8,,ec:4.1.1.32,,,,,,,,,,
ec:1.5.5.2,,ec:1.2.7.3,,,,,,,,,,
ec:2.5.1.16,,ec:4.2.1.32,,,,,,,,,,
